,Year,temp_ssp126,temp_ssp245,temp_ssp585
0,1750.0,0.0,0.0,0.0
1,1751.0,0.017390509888263607,0.017390509888263607,0.017390509888263607
2,1752.0,0.050718295305453,0.050718295305453,0.050718295305453
3,1753.0,0.06998414201163264,0.06998414201163264,0.06998414201163264
4,1754.0,0.052324844337992796,0.052324844337992796,0.052324844337992796
5,1755.0,0.05025514665214058,0.05025514665214058,0.05025514665214058
6,1756.0,0.033492521893029696,0.033492521893029696,0.033492521893029696
7,1757.0,0.008804838032621677,0.008804838032621677,0.008804838032621677
8,1758.0,0.01894159514469317,0.01894159514469317,0.01894159514469317
9,1759.0,0.05757270900622692,0.05757270900622692,0.05757270900622692
10,1760.0,0.06901392709388755,0.06901392709388755,0.06901392709388755
11,1761.0,0.07187009391335361,0.07187009391335361,0.07187009391335361
12,1762.0,0.036072334351017664,0.036072334351017664,0.036072334351017664
13,1763.0,-0.08827426563731121,-0.08827426563731121,-0.08827426563731121
14,1764.0,-0.08486275871168023,-0.08486275871168023,-0.08486275871168023
15,1765.0,-0.04990097867042732,-0.04990097867042732,-0.04990097867042732
16,1766.0,-0.04666213787121298,-0.04666213787121298,-0.04666213787121298
17,1767.0,-0.10949930452183655,-0.10949930452183655,-0.10949930452183655
18,1768.0,-0.0815294561507452,-0.0815294561507452,-0.0815294561507452
19,1769.0,-0.028848933879397732,-0.028848933879397732,-0.028848933879397732
20,1770.0,0.016850790392339852,0.016850790392339852,0.016850790392339852
21,1771.0,0.01768928163415656,0.01768928163415656,0.01768928163415656
22,1772.0,0.05372960776183969,0.05372960776183969,0.05372960776183969
23,1773.0,0.0501804377859933,0.0501804377859933,0.0501804377859933
24,1774.0,0.06451456589646831,0.06451456589646831,0.06451456589646831
25,1775.0,0.08065552846600584,0.08065552846600584,0.08065552846600584
26,1776.0,0.058832655973834,0.058832655973834,0.058832655973834
27,1777.0,0.07622468814424586,0.07622468814424586,0.07622468814424586
28,1778.0,0.08579963964334592,0.08579963964334592,0.08579963964334592
29,1779.0,0.0556751461640949,0.0556751461640949,0.0556751461640949
30,1780.0,0.05839326605015054,0.05839326605015054,0.05839326605015054
31,1781.0,0.09341170767763782,0.09341170767763782,0.09341170767763782
32,1782.0,0.10183488122882176,0.10183488122882176,0.10183488122882176
33,1783.0,0.001133180318722275,0.001133180318722275,0.001133180318722275
34,1784.0,-0.31533151794117653,-0.31533151794117653,-0.31533151794117653
35,1785.0,-0.5536851449364003,-0.5536851449364003,-0.5536851449364003
36,1786.0,-0.5223741967405334,-0.5223741967405334,-0.5223741967405334
37,1787.0,-0.3798905176893208,-0.3798905176893208,-0.3798905176893208
38,1788.0,-0.2716048567624566,-0.2716048567624566,-0.2716048567624566
39,1789.0,-0.1496362185652835,-0.1496362185652835,-0.1496362185652835
40,1790.0,-0.09169861907705511,-0.09169861907705511,-0.09169861907705511
41,1791.0,-0.07089242960576708,-0.07089242960576708,-0.07089242960576708
42,1792.0,-0.03302556316762868,-0.03302556316762868,-0.03302556316762868
43,1793.0,-0.002375106564133378,-0.002375106564133378,-0.002375106564133378
44,1794.0,0.007688673759105771,0.007688673759105771,0.007688673759105771
45,1795.0,0.018453606732215928,0.018453606732215928,0.018453606732215928
46,1796.0,-0.00428196154190607,-0.00428196154190607,-0.00428196154190607
47,1797.0,-0.020653849105268116,-0.020653849105268116,-0.020653849105268116
48,1798.0,-0.03548366826225219,-0.03548366826225219,-0.03548366826225219
49,1799.0,-0.016917075051675556,-0.016917075051675556,-0.016917075051675556
50,1800.0,-0.01267541262162171,-0.01267541262162171,-0.01267541262162171
51,1801.0,0.006465905637135265,0.006465905637135265,0.006465905637135265
52,1802.0,0.017310814077398862,0.017310814077398862,0.017310814077398862
53,1803.0,0.011689922516794106,0.011689922516794106,0.011689922516794106
54,1804.0,0.06727742226935866,0.06727742226935866,0.06727742226935866
55,1805.0,0.0832971084547598,0.0832971084547598,0.0832971084547598
56,1806.0,0.08481233326225117,0.08481233326225117,0.08481233326225117
57,1807.0,0.08298972928750571,0.08298972928750571,0.08298972928750571
58,1808.0,0.07804343793560377,0.07804343793560377,0.07804343793560377
59,1809.0,-0.15097574906590835,-0.15097574906590835,-0.15097574906590835
60,1810.0,-0.5019286648850488,-0.5019286648850488,-0.5019286648850488
61,1811.0,-0.5598818576245181,-0.5598818576245181,-0.5598818576245181
62,1812.0,-0.45706429536176496,-0.45706429536176496,-0.45706429536176496
63,1813.0,-0.3226680795977073,-0.3226680795977073,-0.3226680795977073
64,1814.0,-0.20200469559380813,-0.20200469559380813,-0.20200469559380813
65,1815.0,-0.3814485404653281,-0.3814485404653281,-0.3814485404653281
66,1816.0,-0.8041113836022975,-0.8041113836022975,-0.8041113836022975
67,1817.0,-0.9751443927849535,-0.9751443927849535,-0.9751443927849535
68,1818.0,-0.8002671991441,-0.8002671991441,-0.8002671991441
69,1819.0,-0.6355498751235137,-0.6355498751235137,-0.6355498751235137
70,1820.0,-0.4656795199386473,-0.4656795199386473,-0.4656795199386473
71,1821.0,-0.3556736966267749,-0.3556736966267749,-0.3556736966267749
72,1822.0,-0.29743932017795505,-0.29743932017795505,-0.29743932017795505
73,1823.0,-0.2981648107514724,-0.2981648107514724,-0.2981648107514724
74,1824.0,-0.271100732795834,-0.271100732795834,-0.271100732795834
75,1825.0,-0.2097273420199921,-0.2097273420199921,-0.2097273420199921
76,1826.0,-0.14926915455582485,-0.14926915455582485,-0.14926915455582485
77,1827.0,-0.09475365556840239,-0.09475365556840239,-0.09475365556840239
